full_name,gender,certainty
Alex Frost,m,0.95
Alex Garland,m,0.95
Alex Huff,m,0.95
Alex Kendrick,m,0.95
Alex Kurtzman,m,0.95
Alex Lasker,m,0.95
Alex Lehmann,m,0.95
Alex Litvak,m,0.95
Alex Mace,m,0.95
Alex Metcalf,m,0.95
Alex Murphy,m,0.95
Alex O'Loughlin,m,0.95
Alex Orr,m,0.95
Alex Palmer,m,0.95
Alex Pettyfer,m,0.95
Alex Proyas,m,0.95
Alex Rubens,m,0.95
Alex Russell,m,0.95
Alex Tse,m,0.95
Alex Wolff,m,0.95
Alex Zamm,m,0.95
Alexa PenaVega,f,0.98
Alexander Held,m,1.0
Alexander Morton,m,1.0
Alexander Payne,m,1.0
Alexander Skarsgård,m,1.0
Alexander Witt,m,1.0
Alexandra Borbély,f,0.99
Alexandra Bracken,f,0.99
Alexandra Daddario,f,0.99
Alexandra Maria Lara,f,0.99
Alexandra Moen,f,0.99
Alexandra Park,f,0.99
Alexandre Aja,m,0.99
Alexandre Bailly,m,0.99
Alexandre Bustillo,m,0.99
Alexandre Charlot,m,0.99
Alexandre Rodrigues,m,0.99
Alexandre de La Patellière,m,0.99
Alexandria M. Salling,f,0.99
Alexi Kaye Campbell,m,0.84
Alexia Landeau,f,0.99
Alexis Bledel,m,0.85
Alexis Denisof,m,0.85
Alexis Dos Santos,m,0.85
Alexis Manenti,m,0.85
Alexis Nolent,m,0.85
Alexis Wajsbrot,m,0.85
Alfons Biedermann,m,0.99
Alfonso Cuarón,m,0.99
Alfonso Gomez-Rejon,m,0.99
Alfre Woodard,m,0.98
Alfred Gough,m,0.99
Alfred Molina,m,0.99
Alfredo Castro,m,1.0
Ali Abbasi,m,0.95
Ali Astin,m,0.95
Ali Fazal,m,0.95
Ali Larter,m,0.95
Ali Mosaffa,m,0.95
Ali Wong,m,0.95
Alia Bhatt,f,0.96
Alia Shawkat,f,0.96
Alice Addison,f,0.99
Alice Braga,f,0.99
Alice Englert,f,0.99
Alice Eve,f,0.99
Alice Lowe,f,0.99
Alice Munro,f,0.99
Alice Winocour,f,0.99
Alice Wu,f,0.99
Alicia Erian,f,0.99
Alicia Silverstone,f,0.99
Alicia Vikander,f,0.99
Alicia Witt,f,0.99
Alicja Bachleda,f,0.99
Aline Brosh McKenna,f,0.99
Alison Brie,f,0.98
Alison Bruce,f,0.98
Alison Deegan,f,0.98
Alison Lohman,f,0.98
Alison Woods,f,0.98
Alistair Abell,m,1.0
Allan Heinberg,m,1.0
Allan Knee,m,1.0
Allan Loeb,m,1.0
Allegra Masters,f,0.99
Allen Coulter,m,0.99
Allen Covert,m,0.99
Allen Hughes,m,0.99
Allie Mickelson,f,0.93
Allison Burnett,f,0.99
Allison Dawn Doiron,f,0.99
Allison Janney,f,0.99
Allison Miller,f,0.99
Allison Pearson,f,0.99
Allison Schroeder,f,0.99
Allison Williams,f,0.99
Alma Har'el,f,0.99
Alvin Sargent,m,0.99
Alycia Debnam-Carey,f,0.99
Alyson Court,f,0.96
Alysson Paradis,f,0.81
Amanda Brody,f,1.0
Amanda Brown,f,1.0
Amanda Bynes,f,1.0
Amanda Peet,f,1.0
Amanda Plummer,f,1.0
Amanda Schull,f,1.0
Amanda Seyfried,f,1.0
Amanda Silver,f,1.0
Amandeep Singh,m,0.68
Amandla Stenberg,f,0.53
Amber Heard,f,0.99
Amber Tamblyn,f,0.99
Amber Valletta,f,0.99
Ambrosia Kelley,f,0.97
Ambyr Childers,f,0.99
America Ferrera,f,0.91
Amitabh Bachchan,m,1.0
Amitabh Bhattacharya,m,1.0
Aml Ameen,f,0.95
Amma Asante,f,0.82
Amr Waked,m,0.98
Amy Acker,f,0.99
Amy Adams,f,0.99
Amy Andelson,f,0.99
Amy Aquino,f,0.99
Amy Heckerling,f,0.99
Amy Jump,f,0.99
Amy Poehler,f,0.99
Amy Ryan,f,0.99
Amy Schumer,f,0.99
Amy Seimetz,f,0.99
Amy Smart,f,0.99
An Nguyen,f,0.57
Ana Coto,f,0.92
Ana Lily Amirpour,f,0.92
Ana Paula Bouzas,f,0.92
Ana Wagener,f,0.92
Ana de la Reguera,f,0.92
Analeigh Tipton,f,1.0
Analisa LaBianco,f,0.99
Anamaria Marinca,f,0.99
Anand Tucker,m,1.0
Ananda Everingham,m,0.6
Anaïs Reboux,f,0.99
Ande Parks,m,0.65
Anders Baasmo Christiansen,m,1.0
Anders Danielsen Lie,m,1.0
Anders Thomas Jensen,m,1.0
Anders W. Berthelsen,m,1.0
Anders Walter,m,1.0
Andre Dubus,m,0.97
Andre Dubus III,m,0.97
Andre Fabrizio,m,0.97
Andrea Arnold,f,0.69
Andrea Berloff,f,0.69
Andrea Di Stefano,f,0.69
Andrea Gibb,f,0.69
Andrea Gyertson Nasfell,f,0.69
Andrea James,f,0.69
Andrea Portes,f,0.69
Andrea Riseborough,f,0.69
Andrea Seigel,f,0.69
Andreas Wilson,m,1.0
Andreas Wisniewski,m,1.0
Andres Heinz,m,0.99
Andrew Adamson,m,1.0
Andrew Birkin,m,1.0
Andrew Bovell,m,1.0
Andrew Chalmers,m,1.0
Andrew Currie,m,1.0
Andrew Davies,m,1.0
Andrew Davis,m,1.0
Andrew Deutschman,m,1.0
Andrew Dodge,m,1.0
Andrew Dominik,m,1.0
Andrew Douglas,m,1.0
Andrew Erwin,m,1.0
Andrew Fleming,m,1.0
Andrew Garfield,m,1.0
Andrew Gurland,m,1.0
Andrew Haigh,m,1.0
Andrew Hampton,m,1.0
Andrew Hodges,m,1.0
Andrew Jacobs,m,1.0
Andrew Jay Cohen,m,1.0
Andrew Kevin Walker,m,1.0
Andrew Klavan,m,1.0
Andrew Knauer,m,1.0
Andrew Knight,m,1.0
Andrew Lanham,m,1.0
Andrew Lau,m,1.0
Andrew Lloyd Webber,m,1.0
Andrew Niccol,m,1.0
Andrew Patterson,m,1.0
Andrew Philpot,m,1.0
Andrew Scheinman,m,1.0
Andrew Stanton,m,1.0
Andrew Steele,m,1.0
Andrew Stern,m,1.0
Andrew Traucki,m,1.0
Andrew W. Marlowe,m,1.0
Andrey Zvyagintsev,m,0.99
Andrzej Bartkowiak,m,1.0
Andrzej Sekula,m,1.0
André Aciman,m,0.99
André Batista,m,0.99
André Dussollier,m,0.99
André Marcon,m,0.99
André Nemec,m,0.99
André Ramiro,m,0.99
André Vippolis,m,0.99
André Wilms,m,0.99
André Øvredal,m,0.99
Andrés Baiz,m,0.99
Andrés Vázquez,m,0.99
Andy Bellin,m,0.96
Andy Breckman,m,0.96
Andy Cochran,m,0.96
Andy Fickman,m,0.96
Andy Garcia,m,0.96
Andy Hamilton,m,0.96
Andy Lau,m,0.96
Andy Mulligan,m,0.96
Andy Muschietti,m,0.96
Andy Nyman,m,0.96
Andy Paterson,m,0.96
Andy Powers,m,0.96
Andy Samberg,m,0.96
Andy Serkis,m,0.96
Andy Siara,m,0.96
Andy Tennant,m,0.96
Andy Weir,m,0.96
Andy Weiss,m,0.96
Ane Dahl Torp,f,0.91
Aneesh Chaganty,m,0.99
Anessa Ramsey,f,0.99
Ang Lee,m,0.7
Ang Phula Sherpa,m,0.7
Angel Gracia,m,0.78
Angela Bain,f,1.0
Angela Bassett,f,1.0
Angela Bettis,f,1.0
Angela Goethals,f,1.0
Angela Pell,f,1.0
Angela Pietropinto,f,1.0
Angela Robinson,f,1.0
Angelababy,f,0.94
Angeliki Papoulia,f,1.0
Angelina Jolie,f,0.99
Angie Thomas,f,0.99
Angus Imrie,m,0.98
Angus MacLachlan,m,0.98
Angus MacLane,m,0.98
Anh Hung Tran,f,0.51
Anika Noni Rose,f,0.98
Aniruddha Roy Chowdhury,m,1.0
Anita Briem,f,0.99
Anita Doron,f,0.99
Anjelica Huston,f,0.99
Ann Brashares,f,0.99
Ann Dowd,f,0.99
Ann Harada,f,0.99
Ann Mitchell,f,0.99
Ann Owens,f,0.99
Ann Peacock,f,0.99
Anna Biller,f,0.99
Anna Boden,f,0.99
Anna Chancellor,f,0.99
Anna Faris,f,0.99
Anna Foerster,f,0.99
Anna Friel,f,0.99
Anna Hamilton Phelan,f,0.99
Anna Katharina Schwabroh,f,0.99
Anna Kendrick,f,0.99
Anna Muylaert,f,0.99
Anna Obropta,f,0.99
Anna Paquin,f,0.99
AnnaLynne McCord,f,1.0
AnnaSophia Robb,f,1.0
Annabelle Wallis,f,0.99
Annalise Basso,f,1.0
Anne Dorval,f,0.99
Anne Fletcher,f,0.99
Anne Fontaine,f,0.99
Anne Hathaway,f,0.99
Anne Ramsay,f,0.99
Anne Rapp,f,0.99
Anne Rice,f,0.99
Anne Rosellini,f,0.99
Anne-Marie Duff,f,1.0
Annette Bening,f,1.0
Annie Girardot,f,0.99
Annie Mumolo,f,0.99
Annie Proulx,f,0.99
Anouk Whissell,f,0.99
Ansel Elgort,m,0.95
Anson Mount,m,0.97
Ant Timpson,m,0.87
Anthony Anderson,m,1.0
