full_name,gender,certainty
Christopher Markus,m,1.0
Zain Al Rafeea,m,0.85
David Constantine,m,1.0
Ted Demme,m,1.0
Mariah Carey,f,1.0
Jason Bateman,m,1.0
Evelyne de la Chenelière,f,0.99
Mark Rosenthal,m,1.0
Shiloh Fernandez,f,0.6
Jonah Hill,m,0.96
Tilda Swinton,f,0.99
Michael Parks,m,1.0
Louise Bourgoin,f,0.99
David Rabinowitz,m,1.0
John Magaro,m,1.0
Rian Johnson,m,0.7
Clare Sera,f,0.99
Vincent Elbaz,m,0.99
Hiromasa Yonebayashi,m,1.0
Niall Leonard,m,1.0
David Bedella,m,1.0
John Lithgow,m,1.0
Cinco Paul,m,0.71
Alastair Siddons,m,1.0
Ben Zook,m,0.98
David Sullivan,m,1.0
Kwang-rim Kim,u,0.0
Maeve Jinkings,f,1.0
Hsiao-Hsien Hou,u,0.0
Cuba Gooding Jr.,m,0.81
Johanna Sinisalo,f,0.99
Gary Eck,m,1.0
Adam Barrie,m,0.98
"Geoff Moore, David Posamentier",m,1.0
Thomas Harris,m,1.0
Joshua Oppenheimer,m,1.0
John Lee Hancock,m,1.0
Jessica Alba,f,1.0
Oksana Akinshina,f,0.99
Golshifteh Farahani,f,1.0
Ben Foster,m,0.98
Kelly Adams,f,0.91
F. Scott Frazier,m,0.77
Gilles Paquet-Brenner,m,0.99
William Hanna,m,1.0
Oakes Fegley,m,0.93
Rachel Roberts,f,1.0
Mo Ogrodnik,m,0.85
Ronald D. Moore,m,1.0
Erika Christensen,f,1.0
János Derzsi,m,1.0
Sándor Zsótér,m,0.99
Suzanne Collins,f,1.0
Alan Ball,m,1.0
Chris Chow,m,0.91
Anouk Whissell,f,0.99
Richard Stanley,m,1.0
P.L. Travers,m,0.75
Gabriella Prekop,f,1.0
Stan Lee,m,0.98
Homer,m,0.99
Liz Hannah,f,1.0
James Kent,m,1.0
Bero Beyer,f,0.69
Billy Campbell,m,0.98
Andrew Stern,m,1.0
Martin McGartland,m,0.99
James Krieg,m,1.0
Pierre Salvadori,m,0.99
Niccolò Ammaniti,m,1.0
Natalie Portman,f,1.0
Stacy Keach,f,0.93
Dan Gilroy,m,0.99
Michael Patrick King,m,1.0
"Lee Unkrich, Adrian Molina",m,0.75
Roxane Mesquida,f,0.99
Luke Evans,m,1.0
Spike Feresten,m,0.97
Kevin Bisch,m,1.0
Barry Barnes,m,0.99
Emma Shorey,f,0.97
Enda Walsh,f,0.63
Steven Millhauser,m,1.0
Nick Antosca,m,0.99
Kiah Roache-Turner,f,0.87
William J. Locke,m,1.0
Pik Wah Lee,m,0.53
John Stockwell,m,1.0
Al Pacino,m,0.94
Won-Chan Hong,m,1.0
Aaron Ashmore,m,1.0
Skylar Astin,f,0.65
Craig Shilowich,m,1.0
Erik Sommers,m,0.99
Jeremy McWilliams,m,1.0
Michael Hirst,m,1.0
James Higginson,m,1.0
Malcolm David Kelley,m,1.0
Maeve Dermody,f,1.0
Aishwarya Rai Bachchan,f,1.0
Damien Marzette,m,1.0
Shane Meadows,m,0.97
Parker Posey,m,0.91
Craig W. Sanger,m,1.0
Roar Uthaug,m,0.96
Vince Gilligan,m,0.99
Chipo Chung,f,0.76
Bernardo Bertolucci,m,1.0
Krishna Jones,m,0.85
Alberto Granado,m,1.0
Rana Daggubati,f,0.68
"David Nerlich, Andrew Traucki",m,1.0
Shona Auerbach,f,0.98
Hironobu Sakaguchi,m,1.0
"Kevin R. Adams, Joe Ksander",m,1.0
Lorcan Finnegan,m,1.0
Carlos Grangel,m,1.0
Yoav Donat,m,1.0
Pat Proft,m,0.51
Bill Bailey,m,1.0
John Heffernan,m,1.0
Sennia Nanua,f,0.78
Mia Hansen-Løve,f,0.97
Ken Bevel,m,0.99
Claudia Zie,f,0.99
Alain Guiraudie,m,0.99
Odessa Young,f,0.98
Harry Melling,m,0.99
Won-jun Ha,m,1.0
Ben Mezrich,m,0.98
Ivan Cotroneo,m,0.99
Jesse Bradford,m,0.98
Mikael Hed,m,0.99
Kellan Lutz,m,0.86
Patrick L. Reyes,m,1.0
Eric Guggenheim,m,1.0
Melanie Joosten,f,0.99
Ranulph Fiennes,m,1.0
Steven Quale,m,1.0
John Patrick Shanley,m,1.0
Earl Richey Jones,m,0.99
Miles Millar,m,0.95
Haylie Duff,f,0.99
Noah Bean,m,0.97
Adam Mazer,m,0.98
Laurie Simmons,f,0.99
Milos Samolov,m,0.99
Tetsuya Nakashima,m,1.0
Ben O'Brien,m,0.98
Eleanor Catton,f,1.0
Chris Parker,m,0.91
Marc Blucas,m,1.0
"Ethan Coen, Joel Coen",m,0.99
Katie Wech,f,1.0
Garth Ennis,m,1.0
Grant Sputore,m,1.0
Rusty Firmin,m,0.95
Meghna Gulzar,f,1.0
Deborah Ellis,f,1.0
Cathy Cash Spellman,f,1.0
Justin Rhodes,m,0.99
John W. Campbell Jr.,m,1.0
Rajinikanth,m,0.96
Nicholas Stoller,m,1.0
Afiya Bennett,f,0.94
Raj Kumar Gupta,m,0.97
Anthony Rapp,m,1.0
Blake Masters,m,0.96
Chang-dong Lee,u,0.0
Andrew Steele,m,1.0
Zane Smith,m,0.92
Nick Cassavetes,m,0.99
Karen Leigh Hopkins,f,0.99
Shia LaBeouf,f,0.65
Sylvain White,m,0.99
Steven C. Miller,m,1.0
Eddie Ritchard,m,0.98
Adèle Exarchopoulos,f,0.98
Connor Paolo,m,1.0
Jeremy Dyson,m,1.0
Joel Schumacher,m,0.99
Marc Evans,m,1.0
Ernesto 'Che' Guevara,m,1.0
Andrew Jay Cohen,m,1.0
